"Location","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
25,"BB_100","BB_113","2022-BB-113-G1-025-2",5,1,1,1,0
25,"BB_188","BB_171","2022-BB-171-G1-025-2",6,1,0,0,0
25,"BB_091","BB_094","2022-BB-094-G1-025-2",2,1,0,0,0
26,"BB_202","BB_025","2022-BB-025-G1-026-4",4,1,0,0,0
26,"BB_176","BB_059","2022-BB-059-G1-026-3",4,1,1,1,0
26,"BB_014","BB_185","2022-BB-185-G1-026-4",5,1,2,1,2
27,"BB_026","BB_070","2022-BB-070-G1-027-6",3,1,1,1,0
27,"BB_073","BB_092","2022-BB-092-G1-027-8",4,1,0,0,0
27,"BB_108","BB_097","2022-BB-097-G1-027-1",2,1,0,0,0
28,"BB_169","BB_076","2022-BB-076-G1-028-1",6,1,2,2,6
28,"BB_107","BB_123","2022-BB-123-G1-028-4",2,1,0,0,0
28,"BB_194","BB_163","2022-BB-163-G1-028-6",2,1,0,0,0
