"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
2,"HR_066","HR_078","2022-HR-078-G1-002-2",8,1,5,5,3
2,"HR_175","HR_164","2022-HR-164-G1-002-3",8,1,3,3,2
2,"HR_148","HR_109","2022-HR-109-G1-002-8",7,1,9,9,9
2,"HR_002","HR_071","2022-HR-071-G1-002-7",8,1,11,9,4
2,"HR_002","HR_059","2022-HR-059-G1-002-5",8,1,6,6,3
3,"HR_074","HR_070","2022-HR-070-G1-003-7",3,1,0,0,0
3,"HR_155","HR_009","2022-HR-009-G1-003-8",6,1,12,11,22
3,"HR_115","HR_131","2022-HR-131-G1-003-6",3,1,20,16,13
3,"HR_066","HR_087","2022-HR-087-G1-003-7",8,1,0,0,0
3,"HR_147","HR_118","2022-HR-118-G1-003-8",8,1,37,25,21
3,"HR_088","HR_182","2022-HR-182-G1-003-3",6,1,14,9,1
3,"HR_034","HR_017","2022-HR-017-G1-003-8",7,1,17,13,4
3,"HR_064","HR_028","2022-HR-028-G1-003-1",6,1,31,30,18
3,"HR_135","HR_004","2022-HR-004-G1-003-3",3,1,2,0,0
3,"HR_090","HR_103","2022-HR-103-G1-003-2",7,1,21,15,19
3,"HR_147","HR_021","2022-HR-021-G1-003-4",6,1,22,12,13
3,"HR_149","HR_174","2022-HR-174-G1-003-7",3,1,5,4,4
3,"HR_156","HR_193","2022-HR-193-G1-003-6",5,1,25,23,23
3,"HR_135","HR_152","2022-HR-152-G1-003-1",6,1,9,8,7
3,"HR_147","HR_150","2022-HR-150-G1-003-2",8,1,15,13,7
3,"HR_062","HR_116","2022-HR-116-G1-003-5",5,1,39,25,12
3,"HR_064","HR_190","2022-HR-190-G1-003-4",8,1,16,16,18
3,"HR_064","HR_019","2022-HR-019-G1-003-5",6,1,40,31,44
3,"HR_180","HR_179","2022-HR-179-G1-003-7",7,1,23,21,20
3,"HR_189","HR_168","2022-HR-168-G1-003-4",5,1,14,12,10
3,"HR_069","HR_156","2022-HR-156-G1-003-5",6,1,43,41,23
3,"HR_088","HR_067","2022-HR-067-G1-003-5",6,1,11,11,1
3,"HR_074","HR_066","2022-HR-066-G1-003-7",7,1,8,4,6
3,"HR_200","HR_159","2022-HR-159-G1-003-3",6,1,28,18,11
3,"HR_100","HR_135","2022-HR-135-G1-003-4",6,1,22,22,5
3,"HR_121","HR_141","2022-HR-141-G1-003-5",8,1,31,28,110
3,"HR_195","HR_181","2022-HR-181-G1-003-5",7,1,9,9,8
3,"HR_059","HR_155","2022-HR-155-G1-003-7",8,1,23,20,34
3,"HR_171","HR_001","2022-HR-001-G1-003-7",7,1,9,9,14
3,"HR_115","HR_111","2022-HR-111-G1-003-3",7,1,7,6,4
3,"HR_195","HR_068","2022-HR-068-G1-003-2",8,1,5,5,4
3,"HR_002","HR_056","2022-HR-056-G1-003-7",7,1,18,16,36
3,"HR_095","HR_124","2022-HR-124-G1-003-6",7,1,11,11,21
3,"HR_057","HR_147","2022-HR-147-G1-003-7",6,1,16,14,10
3,"HR_156","HR_197","2022-HR-197-G1-003-3",7,1,9,9,15
3,"HR_149","HR_065","2022-HR-065-G1-003-6",8,1,37,37,51
