"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
2,"AC_103","AC_144","2022-AC-144-G1-002-5",6,1,7,5,23
2,"AC_207","AC_082","2022-AC-082-G1-002-7",3,1,5,4,10
2,"AC_047","AC_152","2022-AC-152-G1-002-5",2,1,1,0,0
2,"AC_071","AC_215","2022-AC-215-G1-002-1",7,1,8,7,8
2,"AC_160","AC_186","2022-AC-186-G1-002-8",8,1,7,6,25
2,"AC_170","AC_118","2022-AC-118-G1-002-6",5,1,2,1,0
2,"AC_168","AC_159","2022-AC-159-G1-002-3",5,1,10,7,10
2,"AC_068","AC_195","2022-AC-195-G1-002-2",6,1,2,2,3
2,"AC_039","AC_148","2022-AC-148-G1-002-8",6,1,6,5,9
2,"AC_165","AC_206","2022-AC-206-G1-002-6",6,1,4,3,4
3,"AC_064","AC_017","2022-AC-017-G1-003-3",7,1,3,3,6
3,"AC_124","AC_100","2022-AC-100-G1-003-5",7,1,4,4,10
3,"AC_008","AC_092","2022-AC-092-G1-003-1",7,1,3,3,3
3,"AC_168","AC_010","2022-AC-010-G1-003-7",7,1,7,7,9
3,"AC_089","AC_032","2022-AC-032-G1-003-7",2,1,3,3,5
3,"AC_015","AC_197","2022-AC-197-G1-003-10",8,1,11,9,22
3,"AC_172","AC_208","2022-AC-208-G1-003-6",8,1,1,1,0
3,"AC_047","AC_113","2022-AC-113-G1-003-8",5,1,10,10,24
3,"AC_169","AC_075","2022-AC-075-G1-003-5",4,1,2,2,3
3,"AC_156","AC_016","2022-AC-016-G1-003-9",6,1,10,10,13
3,"AC_195","AC_179","2022-AC-179-G1-003-5",6,1,5,5,23
3,"AC_007","AC_187","2022-AC-187-G1-003-5",6,1,29,26,93
3,"AC_008","AC_188","2022-AC-188-G1-003-4",6,1,4,4,8
3,"AC_007","AC_147","2022-AC-147-G1-003-9",6,1,10,8,25
3,"AC_103","AC_201","2022-AC-201-G1-003-8",8,1,7,7,9
3,"AC_094","AC_216","2022-AC-216-G1-003-5",8,1,16,14,32
3,"AC_172","AC_040","2022-AC-040-G1-003-4",8,1,39,37,87
3,"AC_007","AC_081","2022-AC-081-G1-003-1",7,1,2,2,7
